time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-07 00:00:00+00:00,917,65,1740,397
2023-03-08 00:00:00+00:00,898,56,1985,438
2023-03-09 00:00:00+00:00,1022,49,1834,433
2023-03-10 00:00:00+00:00,1270,65,1951,394
2023-03-11 00:00:00+00:00,200,27,619,175
2023-03-12 00:00:00+00:00,313,29,790,198
2023-03-13 00:00:00+00:00,1618,103,2194,398
2023-03-14 00:00:00+00:00,1786,138,2752,445
2023-03-15 00:00:00+00:00,1696,99,2641,438
2023-03-16 00:00:00+00:00,859,90,2285,451
2023-03-17 00:00:00+00:00,1153,64,2080,403
2023-03-18 00:00:00+00:00,535,30,977,220
2023-03-19 00:00:00+00:00,99,29,676,197
2023-03-20 00:00:00+00:00,2081,76,2807,471
2023-03-21 00:00:00+00:00,2237,102,2711,476
2023-03-22 00:00:00+00:00,2068,83,3175,562
2023-03-23 00:00:00+00:00,1456,75,2766,503
2023-03-24 00:00:00+00:00,1207,62,2051,453
2023-03-25 00:00:00+00:00,342,36,1022,220
2023-03-26 00:00:00+00:00,276,30,998,213
2023-03-27 00:00:00+00:00,914,76,2670,465
2023-03-28 00:00:00+00:00,822,46,2689,515
2023-03-29 00:00:00+00:00,1472,68,2589,483
2023-03-30 00:00:00+00:00,1029,61,2123,511
2023-03-31 00:00:00+00:00,1249,53,2339,451
2023-04-01 00:00:00+00:00,430,33,854,213
2023-04-02 00:00:00+00:00,571,47,1155,221
2023-04-03 00:00:00+00:00,1688,86,2886,482
2023-04-04 00:00:00+00:00,1111,75,2868,476
2023-04-05 00:00:00+00:00,2098,95,2993,419
2023-04-06 00:00:00+00:00,1641,71,2500,447
2023-04-07 00:00:00+00:00,784,49,1608,382
2023-04-08 00:00:00+00:00,180,43,791,220
2023-04-09 00:00:00+00:00,174,32,617,174
2023-04-10 00:00:00+00:00,343,46,1355,394
2023-04-11 00:00:00+00:00,1688,98,3724,496
2023-04-12 00:00:00+00:00,1322,76,2971,487
2023-04-13 00:00:00+00:00,947,80,2639,481
2023-04-14 00:00:00+00:00,1170,59,2131,405
2023-04-15 00:00:00+00:00,361,46,882,242
2023-04-16 00:00:00+00:00,127,25,845,218
2023-04-17 00:00:00+00:00,503,54,2134,452
2023-04-18 00:00:00+00:00,775,74,2706,503
2023-04-19 00:00:00+00:00,1318,70,2391,450
2023-04-20 00:00:00+00:00,1405,80,2360,427
2023-04-21 00:00:00+00:00,1261,65,2490,383
2023-04-22 00:00:00+00:00,473,38,1072,209
2023-04-23 00:00:00+00:00,312,36,1042,251
2023-04-24 00:00:00+00:00,544,42,2516,445
2023-04-25 00:00:00+00:00,929,68,2384,435
2023-04-26 00:00:00+00:00,1331,78,2543,450
2023-04-27 00:00:00+00:00,830,66,2745,419
2023-04-28 00:00:00+00:00,915,55,2392,436
2023-04-29 00:00:00+00:00,149,27,614,166
2023-04-30 00:00:00+00:00,53,20,829,251
2023-05-01 00:00:00+00:00,228,45,1242,352
2023-05-02 00:00:00+00:00,846,66,2129,445
2023-05-03 00:00:00+00:00,255,37,1522,398
2023-05-04 00:00:00+00:00,587,61,2534,471
2023-05-05 00:00:00+00:00,911,69,2285,386
2023-05-06 00:00:00+00:00,538,36,1060,247
2023-05-07 00:00:00+00:00,478,39,852,224
2023-05-08 00:00:00+00:00,794,73,2468,465
2023-05-09 00:00:00+00:00,339,56,2613,422
2023-05-10 00:00:00+00:00,668,59,2480,400
2023-05-11 00:00:00+00:00,558,55,2151,412
2023-05-12 00:00:00+00:00,291,43,1947,350
2023-05-13 00:00:00+00:00,61,17,703,176
2023-05-14 00:00:00+00:00,35,19,766,204
2023-05-15 00:00:00+00:00,300,50,2562,395
2023-05-16 00:00:00+00:00,392,49,2360,389
2023-05-17 00:00:00+00:00,394,49,2246,437
2023-05-18 00:00:00+00:00,523,62,2124,405
2023-05-19 00:00:00+00:00,413,41,1699,350
2023-05-20 00:00:00+00:00,204,38,1049,145
2023-05-21 00:00:00+00:00,83,19,698,177
2023-05-22 00:00:00+00:00,501,56,2036,450
2023-05-23 00:00:00+00:00,646,45,1944,432
2023-05-24 00:00:00+00:00,1071,68,2703,446
2023-05-25 00:00:00+00:00,543,60,2005,401
2023-05-26 00:00:00+00:00,627,61,1624,347
2023-05-27 00:00:00+00:00,277,38,588,152
2023-05-28 00:00:00+00:00,84,19,855,190
2023-05-29 00:00:00+00:00,116,41,1267,302
2023-05-30 00:00:00+00:00,851,75,2349,401
2023-05-31 00:00:00+00:00,343,60,1920,424
2023-06-01 00:00:00+00:00,633,72,2443,426
2023-06-02 00:00:00+00:00,643,75,1739,380
2023-06-03 00:00:00+00:00,78,23,685,155
2023-06-04 00:00:00+00:00,133,25,756,155
2023-06-05 00:00:00+00:00,787,80,1928,395
2023-06-06 00:00:00+00:00,460,57,2000,435
2023-06-07 00:00:00+00:00,490,64,1799,430
2023-06-08 00:00:00+00:00,661,83,2428,395
2023-06-09 00:00:00+00:00,233,50,1972,358
2023-06-10 00:00:00+00:00,181,23,978,165
2023-06-11 00:00:00+00:00,52,22,943,201
2023-06-12 00:00:00+00:00,361,52,2127,391
2023-06-13 00:00:00+00:00,323,61,2497,463
2023-06-14 00:00:00+00:00,303,62,2094,478
2023-06-15 00:00:00+00:00,126,42,1660,422
2023-06-16 00:00:00+00:00,105,41,1301,324
2023-06-17 00:00:00+00:00,72,27,553,178
2023-06-18 00:00:00+00:00,133,34,734,166
2023-06-19 00:00:00+00:00,457,62,1662,382
2023-06-20 00:00:00+00:00,648,51,1808,426
2023-06-21 00:00:00+00:00,1099,66,2239,420
2023-06-22 00:00:00+00:00,595,65,1878,338
2023-06-23 00:00:00+00:00,108,37,1724,318
2023-06-24 00:00:00+00:00,583,33,912,156
2023-06-25 00:00:00+00:00,232,27,814,237
2023-06-26 00:00:00+00:00,1087,77,2149,382
2023-06-27 00:00:00+00:00,615,76,2018,406
2023-06-28 00:00:00+00:00,622,60,1954,389
2023-06-29 00:00:00+00:00,611,65,1840,391
2023-06-30 00:00:00+00:00,69,17,1423,318
2023-07-01 00:00:00+00:00,153,17,750,143
2023-07-02 00:00:00+00:00,603,33,1025,173
2023-07-03 00:00:00+00:00,596,59,1931,388
2023-07-04 00:00:00+00:00,421,51,2024,410
2023-07-05 00:00:00+00:00,290,54,1810,382
2023-07-06 00:00:00+00:00,243,44,2472,385
2023-07-07 00:00:00+00:00,355,54,2043,393
2023-07-08 00:00:00+00:00,47,16,1036,157
2023-07-09 00:00:00+00:00,132,35,826,160
2023-07-10 00:00:00+00:00,610,60,1735,386
2023-07-11 00:00:00+00:00,376,49,1880,414
2023-07-12 00:00:00+00:00,625,58,2530,393
2023-07-13 00:00:00+00:00,505,64,2289,428
2023-07-14 00:00:00+00:00,467,58,2743,610
2023-07-15 00:00:00+00:00,140,28,1444,419
2023-07-16 00:00:00+00:00,152,37,843,217
2023-07-17 00:00:00+00:00,234,56,2278,535
2023-07-18 00:00:00+00:00,495,50,2529,520
2023-07-19 00:00:00+00:00,1165,59,2836,492
2023-07-20 00:00:00+00:00,258,58,2488,447
2023-07-21 00:00:00+00:00,274,43,1875,358
2023-07-22 00:00:00+00:00,281,37,811,159
2023-07-23 00:00:00+00:00,330,34,836,186
2023-07-24 00:00:00+00:00,399,42,2558,403
2023-07-25 00:00:00+00:00,568,53,2911,441
2023-07-26 00:00:00+00:00,610,53,2423,391
2023-07-27 00:00:00+00:00,894,68,2680,414
2023-07-28 00:00:00+00:00,489,51,2371,359
2023-07-29 00:00:00+00:00,147,27,917,162
2023-07-30 00:00:00+00:00,130,21,775,191
2023-07-31 00:00:00+00:00,966,73,2592,421
2023-08-01 00:00:00+00:00,272,39,2436,382
2023-08-02 00:00:00+00:00,191,36,1674,359
2023-08-03 00:00:00+00:00,491,48,1991,369
2023-08-04 00:00:00+00:00,462,41,1814,337
2023-08-05 00:00:00+00:00,185,30,688,153
2023-08-06 00:00:00+00:00,144,25,1022,175
2023-08-07 00:00:00+00:00,1079,77,2338,391
2023-08-08 00:00:00+00:00,413,57,2872,388
2023-08-09 00:00:00+00:00,298,44,1982,387
